name,rarityRank,id
CryptoDino #02307,1,02307
CryptoDino #08199,2,08199
CryptoDino #02855,3,02855
CryptoDino #05530,4,05530
CryptoDino #05199,5,05199
CryptoDino #06331,6,06331
CryptoDino #04786,7,04786
CryptoDino #07564,8,07564
CryptoDino #09928,9,09928
CryptoDino #00651,10,00651
CryptoDino #07868,11,07868
CryptoDino #06783,12,06783
CryptoDino #05539,13,05539
CryptoDino #08589,14,08589
CryptoDino #05162,15,05162
CryptoDino #02730,16,02730
CryptoDino #07367,17,07367
CryptoDino #00480,18,00480
CryptoDino #04444,19,04444
CryptoDino #01301,20,01301
CryptoDino #09725,21,09725
CryptoDino #08453,22,08453
CryptoDino #00138,23,00138
CryptoDino #01543,24,01543
CryptoDino #09913,25,09913
CryptoDino #03651,26,03651
CryptoDino #04600,27,04600
CryptoDino #04748,28,04748
CryptoDino #07927,29,07927
CryptoDino #00708,30,00708
CryptoDino #03513,31,03513
CryptoDino #06076,32,06076
CryptoDino #01192,33,01192
CryptoDino #00742,34,00742
CryptoDino #06195,35,06195
CryptoDino #09330,36,09330
CryptoDino #04326,37,04326
CryptoDino #09053,38,09053
CryptoDino #04734,39,04734
CryptoDino #00567,40,00567
CryptoDino #04827,41,04827
CryptoDino #08267,42,08267
CryptoDino #05745,43,05745
CryptoDino #00245,44,00245
CryptoDino #08380,45,08380
CryptoDino #04825,46,04825
CryptoDino #08662,47,08662
CryptoDino #05752,48,05752
CryptoDino #07177,49,07177
CryptoDino #06509,50,06509
