name,rarityRank,id
Naru 06190,1,6190
Naru 08570,1,8570
Naru 00125,1,125
Naru 00985,1,985
Naru 06426,1,6426
Naru 00556,1,556
Naru 03501,1,3501
Naru 02246,1,2246
Naru 03863,9,3863
Naru 08553,10,8553
Naru 04266,11,4266
Naru 07767,12,7767
Naru 02241,13,2241
Naru 03987,14,3987
Naru 07891,15,7891
Naru 00319,16,319
Naru 01650,17,1650
Naru 08717,18,8717
Naru 02833,19,2833
Naru 05395,20,5395
Naru 08616,21,8616
Naru 09158,22,9158
Naru 05384,23,5384
Naru 05440,24,5440
Naru 00391,25,391
Naru 02590,26,2590
Naru 01910,27,1910
Naru 01169,28,1169
Naru 08154,29,8154
Naru 07734,30,7734
Naru 04579,31,4579
Naru 05175,32,5175
Naru 06221,33,6221
Naru 05508,34,5508
Naru 02715,35,2715
Naru 09651,36,9651
Naru 02857,37,2857
Naru 08686,38,8686
Naru 08825,39,8825
Naru 08408,40,8408
Naru 06131,41,6131
Naru 07353,42,7353
Naru 03003,43,3003
Naru 06924,44,6924
Naru 02397,45,2397
Naru 00786,46,786
Naru 04978,47,4978
Naru 03481,48,3481
Naru 08791,49,8791
Naru 01298,50,1298
Naru 05237,51,5237
Naru 07372,52,7372
Naru 09333,53,9333
Naru 03432,54,3432
Naru 09664,55,9664
Naru 03062,56,3062
Naru 02056,57,2056
Naru 00425,58,425
Naru 08569,59,8569
Naru 07148,60,7148
Naru 03671,61,3671
Naru 02853,62,2853
Naru 05272,63,5272
Naru 03569,64,3569
Naru 06579,65,6579
Naru 04587,66,4587
Naru 04641,67,4641
Naru 04405,68,4405
Naru 00552,69,552
Naru 04771,70,4771
Naru 04723,71,4723
Naru 09072,72,9072
Naru 02687,73,2687
Naru 09007,74,9007
Naru 06108,75,6108
Naru 03751,76,3751
Naru 07162,77,7162
Naru 03293,78,3293
Naru 04051,79,4051
Naru 02671,80,2671
Naru 01786,81,1786
Naru 06998,82,6998
Naru 04464,83,4464
Naru 09757,84,9757
Naru 09881,85,9881
Naru 03796,86,3796
Naru 06402,87,6402
Naru 09438,88,9438
Naru 01088,89,1088
Naru 03728,90,3728
Naru 07214,91,7214
Naru 06169,92,6169
Naru 03680,93,3680
Naru 01665,94,1665
Naru 04934,95,4934
Naru 01847,96,1847
Naru 05621,97,5621
Naru 02073,98,2073
Naru 03734,99,3734
Naru 07980,100,7980
Naru 06418,101,6418
Naru 02188,102,2188
Naru 00211,103,211
Naru 04280,104,4280
Naru 00454,105,454
Naru 09711,106,9711
Naru 09652,107,9652
Naru 01035,108,1035
Naru 04230,109,4230
Naru 07769,110,7769
Naru 07072,111,7072
Naru 01343,112,1343
Naru 01000,113,1000
Naru 06580,114,6580
Naru 04439,115,4439
Naru 05130,116,5130
Naru 02269,117,2269
Naru 04995,118,4995
Naru 08624,119,8624
Naru 07115,120,7115
Naru 00046,121,46
Naru 02951,122,2951
Naru 06278,123,6278
Naru 03101,124,3101
Naru 08414,125,8414
Naru 06582,126,6582
Naru 00748,127,748
Naru 07510,128,7510
Naru 05348,129,5348
Naru 08213,130,8213
Naru 06247,131,6247
Naru 07306,132,7306
Naru 03255,133,3255
Naru 05883,134,5883
Naru 08278,135,8278
Naru 04080,136,4080
Naru 00242,137,242
Naru 04384,138,4384
Naru 06636,139,6636
Naru 02836,140,2836
Naru 02501,141,2501
Naru 00115,142,115
Naru 08160,143,8160
Naru 05451,144,5451
Naru 04199,145,4199
Naru 02346,146,2346
Naru 04987,147,4987
Naru 02124,148,2124
Naru 09399,149,9399
Naru 05455,150,5455
Naru 06810,151,6810
Naru 02959,152,2959
Naru 05864,153,5864
Naru 08193,154,8193
Naru 04455,155,4455
Naru 01023,156,1023
Naru 09902,157,9902
Naru 00069,158,69
Naru 07683,159,7683
Naru 07536,160,7536
Naru 03774,161,3774
Naru 08032,162,8032
Naru 09851,163,9851
Naru 05814,164,5814
Naru 03816,165,3816
Naru 03203,166,3203
Naru 08151,167,8151
Naru 00055,168,55
Naru 02701,169,2701
Naru 02450,170,2450
Naru 03415,171,3415
Naru 05872,172,5872
Naru 00122,173,122
Naru 07441,174,7441
Naru 02882,175,2882
Naru 03885,176,3885
Naru 01853,177,1853
Naru 00074,178,74
Naru 02153,179,2153
Naru 00268,180,268
Naru 05953,181,5953
Naru 00144,182,144
Naru 09756,183,9756
Naru 00858,184,858
Naru 01790,185,1790
Naru 05625,186,5625
Naru 08690,187,8690
Naru 00567,188,567
Naru 02627,189,2627
Naru 08994,190,8994
Naru 05776,191,5776
Naru 01827,192,1827
Naru 05639,193,5639
Naru 05443,194,5443
Naru 08229,195,8229
Naru 07175,196,7175
Naru 02421,197,2421
Naru 03503,198,3503
Naru 05001,199,5001
Naru 00088,200,88
