name,price
Naru 06190,1000000
Naru 08570,250000
Naru 00125,250000
Naru 00985,x
Naru 06426,x
Naru 00556,150000
Naru 03501,x
Naru 02246,83000
Naru 03863,50000
Naru 08553,x
Naru 04266,x
Naru 07767,9999
Naru 02241,16000
Naru 03987,69000
Naru 07891,x
Naru 00319,29000
Naru 01650,x
Naru 08717,11500
Naru 02833,49999
Naru 05395,75000
Naru 08616,6900
Naru 09158,x
Naru 05384,x
Naru 05440,22500
Naru 00391,x
Naru 02590,20000
Naru 01910,x
Naru 01169,35000
Naru 08154,46669
Naru 07734,25025
Naru 04579,20000
Naru 05175,x
Naru 06221,10000
Naru 05508,9999
Naru 02715,x
Naru 09651,x
Naru 02857,30000
Naru 08686,8999
Naru 08825,x
Naru 08408,x
Naru 06131,x
Naru 07353,x
Naru 03003,7499
Naru 06924,25000
Naru 02397,x
Naru 00786,30000
Naru 04978,999999.69
Naru 03481,x
Naru 08791,x
Naru 01298,x
Naru 05237,x
Naru 07372,x
Naru 09333,x
Naru 03432,x
Naru 09664,7200
Naru 03062,x
Naru 02056,x
Naru 00425,50000
Naru 08569,33000
Naru 07148,19666
Naru 03671,25000
Naru 02853,3500
Naru 05272,x
Naru 03569,x
Naru 06579,x
Naru 04587,8000
Naru 04641,x
Naru 04405,10000
Naru 00552,x
Naru 04771,x
Naru 04723,x
Naru 09072,4444
Naru 02687,4500
Naru 09007,x
Naru 06108,24999
Naru 03751,7500
Naru 07162,6899
Naru 03293,x
Naru 04051,21000
Naru 02671,x
Naru 01786,35000
Naru 06998,x
Naru 04464,9999
Naru 09757,x
Naru 09881,x
Naru 03796,x
Naru 06402,4000
Naru 09438,x
Naru 01088,x
Naru 03728,x
Naru 07214,x
Naru 06169,9999.69
Naru 03680,20000
Naru 01665,4000
Naru 04934,15000
Naru 01847,x
Naru 05621,9320
Naru 02073,14000
Naru 03734,x
Naru 07980,x
Naru 06418,x
Naru 02188,4000
Naru 00211,x
Naru 04280,12500
Naru 00454,x
Naru 09711,x
Naru 09652,x
Naru 01035,x
Naru 04230,x
Naru 07769,x
Naru 07072,9000
Naru 01343,18500
Naru 01000,x
Naru 06580,x
Naru 04439,54321
Naru 05130,4000
Naru 02269,x
Naru 04995,3495
Naru 08624,x
Naru 07115,11998.99
Naru 00046,6000
